query_raw	query_normalized	normalization_group_id	normalization_type	normalization_reason
мелонг зеркало	мелонг зеркало	QG_09ffe9f4b7b8	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
металлическая подвеска в машину на зеркало hongoi	металлическая подвеска в машину на зеркало hongoi	QG_9a1e78f67df1	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
метла оберег	метла оберег	QG_761e2df063c4	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
методическая подвеска рекстон на зеркало	методическая подвеска рекстон на зеркало	QG_4f5abf623de7	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
мешочек со смехом подвеска в машину	мешочек со смехом подвеска в машину	QG_e9a01280e2e5	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
мимо меня обереги	мимо меня обереги	QG_3b09eea19de4	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
мини подвеска оберег	мини подвеска оберег	QG_c31a143eb386	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
мир старославянской	мир старославянской	QG_686d1d138029	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
мконка оберег в машину на зеркало круглая	мконка оберег в машину на зеркало круглая	QG_bbc0fdb80690	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
молвинец в	молвинец в	QG_a33c521d4235	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
молвинец золотой	молвинец золотой	QG_6fdb13f26a99	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
молвинец оберег	молвинец оберег	QG_f9ba04bc15ea	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
молд белобог	молд белобог	QG_fc5b8598eb6c	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
молд берегиня макошь	молд берегиня макошь	QG_6f985db9fb0e	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
молд водолей	молд водолей	QG_6d991f739a8c	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
молд козерог	молд козерог	QG_998da9043488	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
молитва	молитва	QG_9f7533e5953c	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
молитва оберег в дом	молитва оберег в дом	QG_bc516c3ebae3	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
молитвой деревянный православный	молитвой деревянный православный	QG_1898ebc2f8e8	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
молитвы	молитвы	QG_ab906b4944ef	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
молитвы о детях православные даниленко	молитвы о детях православные даниленко	QG_6e24deaa5091	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
молот сварога подвеска	молот сварога подвеска	QG_e042fc51b9f7	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
монстры на кан кулах подвеска в машину	монстры на кан кулах подвеска в машину	QG_a968694b5c6d	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
мотоцикл подвеска в машину	мотоцикл подвеска в машину	QG_1a767e26342a	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
мощные амулеты	мощные амулеты	QG_8cd3f096c06f	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
мужская подвеска на зеркало в машину	мужская подвеска на зеркало в машину	QG_0b302b32bd62	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
мужской кулон инь ян	мужской кулон инь ян	QG_e60bd7a59cdf	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
мужской кулон рыба	мужской кулон рыба	QG_ce2990596638	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
мужской талисман на шею	мужской талисман на шею	QG_9bb68217576e	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
мусульманская подвеска в машину тюбетейка	мусульманская подвеска в машину тюбетейка	QG_3281f171f478	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
мусульманский оберег	мусульманский оберег	QG_f20a1efa1ef4	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
мусульманский оберег брелок на автомобиль	мусульманский оберег брелок на автомобиль	QG_f5efd202d66f	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
мусульманский оберег в машину	мусульманский оберег в машину	QG_da2e64fea685	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
мусульманский оберег в машину на клею	мусульманский оберег в машину на клею	QG_4046eab69c70	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
мусульманский оберег на веревочке	мусульманский оберег на веревочке	QG_61578f80e0ee	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
мусульманский талисман нс зеркало	мусульманский талисман нс зеркало	QG_f445966b2881	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
мыло стрелец	мыло стрелец	QG_b713150cfb32	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
мячик мягкий в машину на зеркало смайлик	мячик мягкий в машину на зеркало смайлик	QG_f46b8abc380d	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
на дифлектоп араматизатор в машину знак задиака	на дифлектоп араматизатор в машину знак задиака	QG_c1633f3edea0	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
на зеркало авто подвеска	на зеркало авто подвеска	QG_8d76bbfe0ecf	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
на зеркало авто подвеска женская в машину	на зеркало авто подвеска женская в машину	QG_6720359a1bc0	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
на зеркало автомобиля подвеска	на зеркало автомобиля подвеска	QG_de525f01e880	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
на зеркало автомобиля подвеска в машину	на зеркало автомобиля подвеска в машину	QG_9489aaeab566	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
на зеркало автомобиля подвеска герю	на зеркало автомобиля подвеска герю	QG_d6caed432b98	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
на зеркало автомобиля подвеска красная	на зеркало автомобиля подвеска красная	QG_16080f72839c	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
на зеркало автомобиля подвеска мужская	на зеркало автомобиля подвеска мужская	QG_57a0e9d7a9ca	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
на зеркало в авто оберег	на зеркало в авто оберег	QG_de0f04af7bc8	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
на зеркало в авто четки	на зеркало в авто четки	QG_88a7c6c4da1d	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
на зеркало в машину	на зеркало в машину	QG_747713bfe653	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
на зеркало в машину аксессуары необычные	на зеркало в машину аксессуары необычные	QG_09ebcf7868e0	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
на зеркало в машину брелок	на зеркало в машину брелок	QG_9e14179a98d8	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
на зеркало в машину подвеска	на зеркало в машину подвеска	QG_f04d2f39828c	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
на зеркало в машину подвеска дева	на зеркало в машину подвеска дева	QG_7ee237f7258e	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
на зеркало в машину подвеска женская сердечко сере	на зеркало в машину подвеска женская сердечко сере	QG_f9160b3fa55c	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
на зеркало в машину подвеска молот викингов	на зеркало в машину подвеска молот викингов	QG_1c5ea801aacc	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
на зеркало в машину подвеска россия	на зеркало в машину подвеска россия	QG_10d74c4379bf	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
на зеркало в машину подвеска уголовный розыск	на зеркало в машину подвеска уголовный розыск	QG_25bc45fbcba3	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
на зеркало в машину подвеска участник бое	на зеркало в машину подвеска участник бое	QG_a8f42ee8a0de	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
на зеркало в машину скорпион	на зеркало в машину скорпион	QG_d766832b2631	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
на зеркало в машину талисман	на зеркало в машину талисман	QG_61df174112ed	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
на зеркало в машину украшение	на зеркало в машину украшение	QG_f6f7a8c2f958	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
на зеркало знак зодиака рак в машину	на зеркало знак зодиака рак в машину	QG_a052fccde0c3	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
на зеркало подвеска	на зеркало подвеска	QG_1a31d45ddc90	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
на зеркало подвеска авто	на зеркало подвеска авто	QG_6d3495d58996	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
на зеркало подвеска автомобиля	на зеркало подвеска автомобиля	QG_33514273a657	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
на зеркало подвеска в машину	на зеркало подвеска в машину	QG_2982251b09dd	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
на зеркало подвеска в машину с символом следственного	на зеркало подвеска в машину с символом следственного	QG_19562b97f651	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
на зеркало подвеска в машину с символом следственного ком	на зеркало подвеска в машину с символом следственного ком	QG_6a18a414bbfa	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
на зеркало подвеска для машины	на зеркало подвеска для машины	QG_a98e58821ba6	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
на зеркало украшение в машину	на зеркало украшение в машину	QG_eb1ddd6dc45c	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
на машину в салон оберег	на машину в салон оберег	QG_f6d01a529a87	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
на машину подвеска женская	на машину подвеска женская	QG_7b34f370baa9	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
на присоске в машину жезл оберег	на присоске в машину жезл оберег	QG_daaa068582b2	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
на удачу талисман набор	на удачу талисман набор	QG_eaf39af136c9	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
на четки подвеска	на четки подвеска	QG_52fad4cb47c6	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
наблр для творчества знако зодиака	наблр для творчества знако зодиака	QG_92906704ce21	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
набор	набор	QG_6b5297fb6c78	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
набор автомобилиста	набор автомобилиста	QG_c8a57b763957	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
набор декоративных кисточек с бусинами	набор декоративных кисточек с бусинами	QG_86b31beff916	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
набор для близнеца	набор для близнеца	QG_c63993b838f7	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
набор для творчества	набор для творчества	QG_83914629f58a	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
набор для творчества на дев	набор для творчества на дев	QG_50d733944871	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
набор для четки	набор для четки	QG_1f766ddfdad3	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
набор знак зодиака	набор знак зодиака	QG_6ddb7c530164	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
набор знаков зодиака	набор знаков зодиака	QG_fd07c174dde3	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
набор ключей для автомобиля	набор ключей для автомобиля	QG_45f52ec011b4	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
набор подвесок в машину	набор подвесок в машину	QG_4740f677ad10	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
набор подвесок на зеркало	набор подвесок на зеркало	QG_9a8dbe21e297	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
набор славянские боги дерево	набор славянские боги дерево	QG_8f86206a87e7	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
наклейка чур	наклейка чур	QG_1b988bb17269	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
наклейкана машину тилец	наклейкана машину тилец	QG_6975380ef7db	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
наклейки на автомобиль стрелец	наклейки на автомобиль стрелец	QG_ec02f3764e93	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
наклейки на машину прикольные большие знак весы	наклейки на машину прикольные большие знак весы	QG_5fe716c856c7	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
наклейки на машину стри	наклейки на машину стри	QG_b6ffef5c9ec0	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
наклейки_на_телефон знак зодиака стрелец	наклейки на телефон знак зодиака стрелец	QG_1a2f1dbd273e	PUNCTUATION	Conservative Unicode/case/whitespace/punctuation normalization only.
настраиваимое зеркало мини в машину	настраиваимое зеркало мини в машину	QG_b8f7fe3f2924	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
нательные славянские обереги лось	нательные славянские обереги лось	QG_2191069b8121	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
нашивка телец	нашивка телец	QG_db0d4c3078fe	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
нашивкатна рюкзак телец	нашивкатна рюкзак телец	QG_d9601deb4637	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
необычный обвес в машину на зеркало	необычный обвес в машину на зеркало	QG_2cdd79d1e9ab	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
нитка оберег на руку водолей	нитка оберег на руку водолей	QG_e5841fe95a23	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
ниша под стиральную машинку и рак	ниша под стиральную машинку и рак	QG_b2b1ba5f39ba	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
о.берег в машину	о.берег в машину	QG_856b023bfcc8	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
обвес бусы телец	обвес бусы телец	QG_4bfae57d62fd	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
обвес на сумку рак	обвес на сумку рак	QG_aac7233fbc36	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
обеоег на зеркало в машину мусульманская	обеоег на зеркало в машину мусульманская	QG_f87a173fbd21	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег	оберег	QG_889b4b59d128	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег автомобильный	оберег автомобильный	QG_4df80bcdf4a0	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег автомобильный на зеркало	оберег автомобильный на зеркало	QG_abb730272367	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег амулет в машину с волосами	оберег амулет в машину с волосами	QG_3816a45ca1b5	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег боги из дерева	оберег боги из дерева	QG_13106d61a84d	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег в авто	оберег в авто	QG_726a27ad1e18	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег в автомобиль	оберег в автомобиль	QG_a8f6e2430317	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег в автомобиль на зеркало	оберег в автомобиль на зеркало	QG_74707183e695	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег в виде зеркала	оберег в виде зеркала	QG_13d5195888e5	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег в виде тельца	оберег в виде тельца	QG_1aaa9be5f4e0	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег в дорогу	оберег в дорогу	QG_8244501c543a	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег в карман в машину	оберег в карман в машину	QG_5f75655ef4b9	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег в кошелек овен	оберег в кошелек овен	QG_3151bf7e486e	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег в машинку	оберег в машинку	QG_194099fdccae	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег в машину	оберег в машину	QG_73a89b930447	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег в машину види сердца	оберег в машину види сердца	QG_0d72fa65815b	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег в машину для рака мужской	оберег в машину для рака мужской	QG_34bfb89924e4	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег в машину женский	оберег в машину женский	QG_795a4723d24e	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег в машину или просто украшиение	оберег в машину или просто украшиение	QG_d65dadf8dce1	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег в машину колаврат	оберег в машину колаврат	QG_b0cc87968fbe	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег в машину машину на зеркало	оберег в машину машину на зеркало	QG_b83a89b69bd2	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег в машину мужской	оберег в машину мужской	QG_aea53d90743a	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег в машину мужской на зеркало	оберег в машину мужской на зеркало	QG_f6f5892b3c11	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег в машину мужской сынуподвеска на зеркало	оберег в машину мужской сынуподвеска на зеркало	QG_e2f78a90302b	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег в машину мусульманский наклейка	оберег в машину мусульманский наклейка	QG_e69b748fb448	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег в машину мусульманский четки	оберег в машину мусульманский четки	QG_56394a0c8a9f	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег в машину на зеркало в салон	оберег в машину на зеркало в салон	QG_c5b2ce6ea93c	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег в машину на зеркало женский	оберег в машину на зеркало женский	QG_fc4229ad11a1	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег в машину на зеркало из кожи	оберег в машину на зеркало из кожи	QG_01035c70c15b	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег в машину на зеркало прикольный	оберег в машину на зеркало прикольный	QG_b9d917fb8959	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег в машину на зеркало славянский	оберег в машину на зеркало славянский	QG_afa7fe416e78	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег в машину на руль	оберег в машину на руль	QG_8c0f2dc8dd50	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег в машину от гибдд прикольный	оберег в машину от гибдд прикольный	QG_c7819a27ea27	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег в машину от гибдд фига	оберег в машину от гибдд фига	QG_85f394613bb4	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег в машину от дерева жизни на зеркало	оберег в машину от дерева жизни на зеркало	QG_cffbca59100a	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег в машину от поломки позолота	оберег в машину от поломки позолота	QG_0657f20453dd	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег в машину под вышивку	оберег в машину под вышивку	QG_f08e8857f1ee	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег в машину православный	оберег в машину православный	QG_6fbda2fdaab2	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег в машину православный мал	оберег в машину православный мал	QG_b18828416041	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег в машину славянский	оберег в машину славянский	QG_14b691affab0	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег в машину славянский на деньги	оберег в машину славянский на деньги	QG_bd663a8f6d7b	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег в машину со знаком зодиака водолей	оберег в машину со знаком зодиака водолей	QG_4bde1b723fea	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег в машину талисман удачи автодомовой	оберег в машину талисман удачи автодомовой	QG_907b8348d405	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег в машину тойота	оберег в машину тойота	QG_4a3f17ef1395	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег в машину ч кпп туз	оберег в машину ч кпп туз	QG_28fab3b3ddb5	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег в мвшину	оберег в мвшину	QG_3653da8d8a2c	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег велес	оберег велес	QG_c1d7a99e55c6	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег велеса	оберег велеса	QG_eba508a865f8	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег воздуха славянский	оберег воздуха славянский	QG_037f72d42000	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег ворон	оберег ворон	QG_57b8036c6d61	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег ворон в компасе	оберег ворон в компасе	QG_cd0af9b65b32	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег даж бога	оберег даж бога	QG_c3ff0d7963e1	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег дерево	оберег дерево	QG_9d23a0e4db2c	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег деревянный	оберег деревянный	QG_0e72fa803c0a	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег для авто	оберег для авто	QG_2aa56b03dcdc	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег для автомобиля	оберег для автомобиля	QG_84d68137c205	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег для автомобиля для автомобиля	оберег для автомобиля для автомобиля	QG_e334d8854fb8	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег для автомобиля женский на зеркало	оберег для автомобиля женский на зеркало	QG_94608d22b50a	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег для автомобиля на зеркало	оберег для автомобиля на зеркало	QG_f6b13583c1f1	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег для близнецов	оберег для близнецов	QG_90cc83fb38d2	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег для водителя в машину	оберег для водителя в машину	QG_5afe8aca1c17	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег для воина	оберег для воина	QG_44a60b5e1585	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег для дева	оберег для дева	QG_05956550de72	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег для девы женский на шею	оберег для девы женский на шею	QG_6981ad36ad72	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег для дома	оберег для дома	QG_1f4b0998e54b	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег для дома от сглаза и порчи	оберег для дома от сглаза и порчи	QG_9fd9a8b79745	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег для дома от сглаза на стену	оберег для дома от сглаза на стену	QG_11715d4b016a	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег для дома чтобы были дети	оберег для дома чтобы были дети	QG_da3b214ca755	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег для друга татарина в машину	оберег для друга татарина в машину	QG_c9f158865255	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег для знака дева	оберег для знака дева	QG_7fec056e69dc	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег для машины	оберег для машины	QG_572667fd6c75	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег для машины мужской на зеркало	оберег для машины мужской на зеркало	QG_24b687d9e8ff	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег для мужчины скорпиона	оберег для мужчины скорпиона	QG_660228346c5f	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег для рака	оберег для рака	QG_d7fe5fa203ba	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег для ребенка	оберег для ребенка	QG_ed39c9c9dd00	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег для сестры знак зодиака дева	оберег для сестры знак зодиака дева	QG_e4f738d088b0	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег для стрелец опал	оберег для стрелец опал	QG_35fec6c0f6c9	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег защита для воина	оберег защита для воина	QG_232b9bbb6dce	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег защитный в машину на зеркало	оберег защитный в машину на зеркало	QG_de2ab090fc98	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег зеркало	оберег зеркало	QG_dcae757d0e7c	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег зеркало на шею	оберег зеркало на шею	QG_cc1f8ed18be8	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег зеркало на шею подвеска	оберег зеркало на шею подвеска	QG_31c8241bdc5a	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег зеркальный	оберег зеркальный	QG_875e4c2f0e96	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег из дерева	оберег из дерева	QG_343a07ac1e45	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег из дерева на шею	оберег из дерева на шею	QG_4141f441d613	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег из зеркал	оберег из зеркал	QG_0b95139c91ba	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег коловрат	оберег коловрат	QG_2fc3279cc1bf	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег коловрат в машину	оберег коловрат в машину	QG_0eecb10c8042	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег макоши	оберег макоши	QG_c0916e9272c9	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег мужской славянский на шею	оберег мужской славянский на шею	QG_93c4ec587950	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег мусульманский	оберег мусульманский	QG_161433cbfddd	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег мусульманский в машину в форме звезды	оберег мусульманский в машину в форме звезды	QG_37753056fef9	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег на	оберег на	QG_5f368abcaa63	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег на автомобиль	оберег на автомобиль	QG_63ad72bcc0e3	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег на дом	оберег на дом	QG_cf81b3ab6af2	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег на зеркала	оберег на зеркала	QG_664d7f7f9eab	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег на зеркало	оберег на зеркало	QG_7f032743e34e	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег на зеркало автомобиля	оберег на зеркало автомобиля	QG_5d94a440c46e	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег на зеркало в машину	оберег на зеркало в машину	QG_ce01b51af452	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег на зеркало в машину мужской	оберег на зеркало в машину мужской	QG_365e7f6cd014	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег на машину	оберег на машину	QG_1a56642fde8c	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег на машину куз тимэсен	оберег на машину куз тимэсен	QG_915128aa0a40	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег на машину славянский	оберег на машину славянский	QG_6ab6fd093cc4	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег на ркккмужской православный освященны	оберег на ркккмужской православный освященны	QG_fe107af18907	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
оберег на руку	оберег на руку	QG_4f6df5515a9b	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
